TimeStamp,Application,Log Name,GPU0,GPU1,CPU,Resolution,Runtime,Avg FPS,1% Low FPS,AvgPCLatency (ms),    ,Min FPS,Max FPS,0.1% Low FPS,0.1% FPS,1% FPS,5% FPS,10% FPS,Time (ms),MinPCLatency (ms),MaxPCLatency (ms),RenderPresentLatency (ms),GPU0Clk(MHz),GPU0MemClk(MHz),GPU0 Util%,GPU0 Temp (C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1 Util%,GPU1 Temp (C),Perf/Watt (F/J) (PCAT),PCAT Power (Watts),GPU NV Power (Watts) (API),CPUClk(MHz),CPU Util %,CPU Temp (C),CPU Package Power(Watts),Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W),Battery Charge Rate(W),OS,GPU Base Driver,GPU Driver Package,System RAM,Motherboard
2024-07-17T182214,Cyberpunk2077.exe,FrameView_Cyberpunk2077.exe_2024_07_17T182149_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,78.306,59.768,31.188,  ,53.859,120.496,54.393,54.939,62.207,66.975,68.753,24.993,23.699,48.07,11.922,600,3000,0,NA,2605.212,10501,97.096,69.604,NA,NA,218,5136.412,41.34,65.957,85.25,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T182319,Cyberpunk2077.exe,FrameView_Cyberpunk2077.exe_2024_07_17T182254_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,78.087,59.552,31.376,  ,55.329,163.578,56.163,57.022,61.53,66.13,68.879,25.011,24.45,49.341,12.025,600,3000,0,NA,2607.221,10501,97.137,69.72,NA,NA,218,5135.221,40.868,64.234,84.458,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T182427,Cyberpunk2077.exe,FrameView_Cyberpunk2077.exe_2024_07_17T182402_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,77.776,59.629,31.535,  ,56.635,174.703,57.458,58.306,61.164,65.741,68.216,24.983,24.136,50.534,12.259,600,3000,0,NA,2605.625,10501,96.861,69.807,NA,NA,218,5143.55,42.053,65.03,85.342,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T182757,RelicCoH3.exe,FrameView_RelicCoH3.exe_2024_07_17T182731_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,188.742,110.566,NA,  ,42.524,274.839,52.381,67.978,147.143,163.98,171.993,24.986,NA,NA,5.665,600,3000,0,NA,2629.388,10501,96.732,69.778,NA,NA,218,4906.305,24.806,57.435,75.699,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T182952,RelicCoH3.exe,FrameView_RelicCoH3.exe_2024_07_17T182928_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,189.202,114.561,NA,  ,50.362,329.728,57.89,69.529,142.523,159.63,169.025,24.989,NA,NA,5.873,600,3000,0,NA,2626.142,10501,95.986,70.047,NA,NA,218,4873.736,23.692,57.815,74.072,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T183018,RelicCoH3.exe,FrameView_RelicCoH3.exe_2024_07_17T182954_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,175.639,95.108,NA,  ,42.974,253.177,52.709,73.374,111.585,144.584,155.504,24.989,NA,NA,5.587,600,3000,0,NA,2621.966,10501,96.458,70.672,NA,NA,218,4911.016,26.57,59.379,76.391,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T183418,HogwartsLegacy.exe,FrameView_HogwartsLegacy.exe_2024_07_17T183354_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,87.989,36.888,32.736,  ,29.754,159.106,29.985,30.326,43.985,62.554,70.256,24.993,24.57,57.905,9.021,600,3000,0,NA,2699.939,10501,94.01,67.72,NA,NA,208,5122.945,33.278,61.789,81.728,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T183446,HogwartsLegacy.exe,FrameView_HogwartsLegacy.exe_2024_07_17T183421_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,87.437,36.261,32.669,  ,23.999,146.752,25.002,27.237,50.489,63.728,71.081,24.967,26.097,61.107,8.972,600,3000,0,NA,2697.658,10501,94.056,68.902,NA,NA,209,5119.051,33.488,61.491,81.616,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T183512,HogwartsLegacy.exe,FrameView_HogwartsLegacy.exe_2024_07_17T183447_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,87.85,39.879,33.811,  ,23.518,147.734,27.457,31.011,49.713,63.468,71.009,24.973,26.37,69.553,8.847,600,3000,0,NA,2702.112,10501,93.22,69.249,NA,NA,209,5124.646,34.826,62.127,82.018,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T183706,SOTTR.exe,FrameView_SOTTR.exe_2024_07_17T183641_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,172.187,150.682,NA,  ,137.669,214.952,143.304,147.643,153.426,158.396,161.137,24.996,NA,NA,8.505,600,3000,0,NA,2623.317,10501,99,67.705,NA,NA,218,4871.387,34.536,59.809,80.199,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T184940,SOTTR.exe,FrameView_SOTTR.exe_2024_07_17T184916_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,171.828,151.544,NA,  ,143.569,221.474,146.413,148.79,153.702,158.431,161.111,24.984,NA,NA,8.529,600,3000,0,NA,2616.057,10501,99,69.173,NA,NA,218,4888.379,35.033,63.283,80.655,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T185046,SOTTR.exe,FrameView_SOTTR.exe_2024_07_17T185021_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,171.654,151.928,NA,  ,146.235,242.931,148.128,149.247,154.157,158.321,160.637,24.98,NA,NA,8.503,600,3000,0,NA,2610.633,10501,99,69.403,NA,NA,219,4882.552,35.308,61.41,80.744,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T232101,witcher3.exe,FrameView_witcher3.exe_2024_07_17T232036_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,70.126,37.406,29.701,  ,24.046,278.583,24.835,25.678,46.868,58.648,61.472,24.972,21.728,47.427,13.817,600,3000,0,NA,210,405,2,42,NA,NA,6,5110.931,29.641,60.993,75.251,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T232127,witcher3.exe,FrameView_witcher3.exe_2024_07_17T232102_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,73.29,35.862,29.474,  ,21.098,252.691,21.153,21.208,50.513,60.384,63.371,24.967,21.718,55.274,12.444,600,3000,0,NA,210,405,2,42,NA,NA,6,5094.735,33.382,61.388,77.66,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T232153,witcher3.exe,FrameView_witcher3.exe_2024_07_17T232128_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,78.503,40.624,29.64,  ,26.947,200.116,27.903,28.929,54.46,64.342,67.974,24.966,22.011,46.391,11.479,600,3000,0,NA,210,405,2,42,NA,NA,6,5078.132,36.321,62.614,78.407,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T232619,APT2_WinStore.x64.Submission.exe,FrameView_APT2_WinStore.x64.Submission.exe_2024_07_17T232553_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,59.413,21.499,55.246,  ,13.394,170.844,14.073,14.823,29.849,55.151,56.845,24.945,30.901,106.388,8.744,600,3000,0,NA,210,405,2,42,NA,NA,6,4941.573,26.242,60.138,73.326,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T232646,APT2_WinStore.x64.Submission.exe,FrameView_APT2_WinStore.x64.Submission.exe_2024_07_17T232622_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,59.881,21.345,67.706,  ,15.757,208.978,17.015,18.491,29.35,57.053,58.127,24.999,38.296,93.747,21.015,600,3000,0,NA,210,405,2,42,NA,NA,6,4953.069,23.041,59.465,70.134,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T232714,APT2_WinStore.x64.Submission.exe,FrameView_APT2_WinStore.x64.Submission.exe_2024_07_17T232648_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,59.441,20.238,58.545,  ,13.572,209.314,13.962,14.376,26.309,55.811,57.138,24.983,35.43,109.393,13.121,600,3000,0,NA,210,405,2,42,NA,NA,6,4940.417,22.928,59.496,70.142,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T233707,F1_23.exe,FrameView_F1_23.exe_2024_07_17T233642_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,150.573,26.577,20.626,  ,13.405,328.893,13.941,14.619,117.445,138.652,141.987,24.998,16.034,100.823,4.529,600,3000,0,NA,210,405,2,42,NA,NA,6,5006.568,35.721,58.609,78.717,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T233732,F1_23.exe,FrameView_F1_23.exe_2024_07_17T233708_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,176.224,38.851,18.035,  ,11.615,316.436,15.213,19.316,143.18,159.091,162.766,24.991,15.004,97.8,4.198,600,3000,0,NA,210,405,2,42,NA,NA,6,5026.144,34.114,59.287,78.712,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T233758,F1_23.exe,FrameView_F1_23.exe_2024_07_17T233733_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,164.793,24.454,18.931,  ,12.007,335.864,13.123,13.696,133.901,153.081,156.89,24.996,15.377,106.465,4.201,600,3000,0,NA,210,405,2,42,NA,NA,6,5035.2,34.405,60.018,78.578,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T234359,forza_gaming.desktop.x64_release_final.exe,FrameView_forza_gaming.desktop.x64_release_final.exe_2024_07_17T234334_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,109.245,63.340,35.380,  ,53.939,159.010,54.914,56.597,68.866,80.602,90.244,24.989,28.335,53.138,6.821,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5207.770,39.099,66.600,84.872,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T234443,forza_gaming.desktop.x64_release_final.exe,FrameView_forza_gaming.desktop.x64_release_final.exe_2024_07_17T234418_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,109.747,62.414,34.655,  ,55.749,157.339,56.722,57.427,66.671,81.340,91.235,24.985,27.749,44.540,6.786,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5202.455,38.372,65.732,85.153,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T234539,forza_gaming.desktop.x64_release_final.exe,FrameView_forza_gaming.desktop.x64_release_final.exe_2024_07_17T234514_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,109.018,60.717,34.938,  ,46.594,154.459,49.052,53.818,66.387,80.400,91.137,24.987,28.527,49.750,6.775,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5200.928,38.364,65.538,85.034,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T235049,ACMirage.exe,FrameView_ACMirage.exe_2024_07_17T235024_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,113.357,80.806,NA,  ,65.722,166.080,69.338,71.956,86.031,95.127,100.007,24.981,NA,NA,17.552,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5233.206,58.401,63.043,88.552,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T235117,ACMirage.exe,FrameView_ACMirage.exe_2024_07_17T235052_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,121.264,79.389,NA,  ,63.820,185.784,69.784,74.551,85.926,98.056,103.587,24.986,NA,NA,17.318,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5249.122,61.302,63.754,90.144,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T235143,ACMirage.exe,FrameView_ACMirage.exe_2024_07_17T235117_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,2560x1440,D3D12,125.827,89.108,NA,  ,80.550,171.621,81.571,82.406,95.159,107.087,111.829,24.986,NA,NA,16.862,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5240.901,58.528,63.000,88.398,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T235431,Starfield.exe,FrameView_Starfield.exe_2024_07_17T235406_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,70.934,41.116,29.376,  ,23.301,147.527,26.748,31.393,53.827,62.227,64.296,24.980,23.896,65.651,13.973,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5241.669,51.851,68.033,93.234,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T235457,Starfield.exe,FrameView_Starfield.exe_2024_07_17T235432_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,75.019,48.863,27.808,  ,34.136,138.920,34.654,35.189,56.118,63.692,66.210,24.994,20.902,43.539,13.060,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5236.028,53.692,67.538,94.284,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-17T235523,Starfield.exe,FrameView_Starfield.exe_2024_07_17T235459_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,75.340,34.892,29.250,  ,16.618,157.998,20.505,26.767,47.551,63.424,66.521,24.982,22.113,74.806,12.455,600.000,3000.000,0.000,NA,210.000,405.000,2.000,42.000,NA,NA,6,5212.465,65.184,72.174,99.919,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-19T103514,APT2_WinStore.x64.Submission.exe,FrameView_APT2_WinStore.x64.Submission.exe_2024_07_19T103447_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,68.896,61.033,32.175,  ,56.420,100.358,57.122,57.842,62.148,64.185,65.279,24.980,26.909,40.215,4.908,600.000,3000.000,0.000,NA,2518.371,10501.000,98.796,71.019,NA,NA,218,4784.991,20.729,57.754,68.493,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-19T103542,APT2_WinStore.x64.Submission.exe,FrameView_APT2_WinStore.x64.Submission.exe_2024_07_19T103516_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,79.944,67.279,27.795,  ,65.943,100.400,65.994,66.046,68.118,70.473,72.423,24.978,22.348,35.741,4.532,600.000,3000.000,0.000,NA,2513.086,10501.000,98.483,71.276,NA,NA,219,4785.732,19.331,57.647,67.911,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-19T103611,APT2_WinStore.x64.Submission.exe,FrameView_APT2_WinStore.x64.Submission.exe_2024_07_19T103546_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,76.227,66.124,29.321,  ,54.921,132.853,58.586,62.774,67.908,69.753,71.082,24.978,24.771,35.918,4.523,600.000,3000.000,0.000,NA,2487.677,10500.999,98.799,71.832,NA,NA,218,4790.196,18.493,57.058,66.869,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-29T111638,forza_gaming.desktop.x64_release_final.exe,FrameView_forza_gaming.desktop.x64_release_final.exe_2024_07_29T111613_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,114.854,79.473,34.875,  ,68.616,154.509,70.821,72.577,86.800,100.102,106.438,24.988,27.978,43.758,7.416,600.000,3000.000,0.000,NA,2715.000,10501.000,98.489,66.906,NA,NA,200,5105.661,28.889,62.396,81.696,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-29T111719,forza_gaming.desktop.x64_release_final.exe,FrameView_forza_gaming.desktop.x64_release_final.exe_2024_07_29T111654_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,114.363,75.297,34.584,  ,53.388,149.352,55.475,57.986,84.719,99.776,105.995,24.988,28.189,43.315,7.400,600.000,3000.000,0.000,NA,2715.000,10501.000,97.122,67.770,NA,NA,198,5104.328,28.932,63.461,81.846,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
2024-07-29T111759,forza_gaming.desktop.x64_release_final.exe,FrameView_forza_gaming.desktop.x64_release_final.exe_2024_07_29T111735_Log.csv,NVIDIA GeForce RTX 4070 SUPER,AMD Radeon(TM) Graphics,AMD Ryzen 7 7700X 8-Core Processor             ,3840x2160,D3D12,114.351,76.554,35.073,  ,61.259,149.180,63.478,65.330,84.691,99.381,105.970,24.985,27.107,52.379,7.409,600.000,3000.000,0.000,NA,2715.000,10501.000,98.006,68.281,NA,NA,199,5095.500,28.821,63.850,81.601,NA,NA,NA,NA,NA,Microsoft Windows 11 Home 2009 10.0.22631,NVIDIA: r555_97 ,NVIDIA: 55599 ,32GB  4800 MT/s,ASUSTeK COMPUTER INC. ROG STRIX B650E-F GAMING WIFI
